Sex,Smokers,Population,,,,Race,Smokers,Population,,,,Surveyed,41606,,,,,,
Female,6.8,20764,,,,Non-Hispanic White,12.3,10182,,,,,,,,,,,
Male,10.5,20733,,,,Non-Hispanic Black,5.3,1668,, ,,,,,,,,,
,,,,,,Non-Hispanic Asian,4.7,5793,,,,,,,,,,,
,,,,,,Hispanic,8.3,22273,,,,,,,,,,,
,,,,,,Non-Hispanic Other Race,10.9,1453,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,California 2015 - 2016 Secondary School Survey ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, 
